"@(t,u,y)u{1}(t-1)";"3,4765e-05";"1,0663e-07"
"@(t,u,y)u{7}(t-1)";"0,99511";"2,7416e-05"
"@(t,u,y)u{12}(t-1)*u{8}(t-1)";"0,16914";"0,0015928"
"@(t,u,y)u{11}(t-1)*u{9}(t-1)";"-0,18795";"0,0035587"
